Brand,Bike Model,Model Year,Price (Rs),City,State,Brand_Origin,Model_Type,Finance_Available(Yes/No)
Royal Enfield,Royal Enfield Classic Stealth Black,2022,185000,Agra, Uttar Pradesh,India,Cruiser,Yes
Bajaj,Bajaj Avenger Cruise 220,2017,60000,Hyderabad, Telangana,India,Cruiser,Yes
KTM,KTM Duke 200 2024,2024,200000,Tenkasi, Tamil Nadu,Austria,Sports,Yes
Honda,Honda Dream Yuga,2014,30000,Tiruchirappalli, Tamil Nadu,Japan,Commuter,Yes
Jawa,Jawa 42 Bobber Black Mirror,2024,225000,Mau, Uttar Pradesh,Czech Republic,Sports,Yes
BMW,BMW G 310 GS,2022,330000,Mumbai, Maharashtra,Germany,Sports,Yes
Royal Enfield,Royal Enfield Hunter 350 Metro,2022,147000,Shimoga, Karnataka,India,Commuter,Yes
Suzuki,Suzuki Access 125,2017,17000,Thane, Maharashtra,Japan,Commuter,Yes
Benelli,Benelli TNT 600 i,2017,500000,Mumbai, Maharashtra,Italy,Commuter,Yes
Bajaj,Bajaj CT 100,2015,30000,Sri Ganganagar, Rajasthan,India,Commuter,Yes
Bajaj,Bajaj Dominar 250,2023,165000,Thane, Maharashtra,India,Commuter,Yes
Honda,Honda Activa 3G,2015,35000,Amethi, Uttar Pradesh,Japan,Scooter,Yes
Suzuki,Suzuki V-Strom 250,2024,190000,Thane, Maharashtra,Japan,Adventure,Yes
Husqvarna,Husqvarna Svartpilen 250 2020,2020,140000,Mumbai, Maharashtra,Sweden,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan BS VI,2021,210000,Hyderabad, Telangana,India,Adventure,Yes
KTM,KTM Duke 200 ABS,2023,170000,New Delhi, Delhi,Austria,Sports,Yes
Hero,Hero Xtreme 160R,2025,135000,Belgaum, Karnataka,India,Commuter,Yes
Yezdi,Yezdi Adventure Matte,2022,145000,Kottayam, Kerala,India,Adventure,Yes
Hero,Hero Passion Pro 100 Million Edition,2021,51000,Jaipur, Rajasthan,India,Commuter,Yes
Harley,Harley Davidson X 440,2023,230000,Jammu, Jammu Kashmir,USA,Commuter,Yes
Yamaha,Yamaha FZ25,2017,75000,Bangalore, Karnataka,Japan,Commuter,Yes
Honda,Honda Activa,2016,40000,Chengalpattu, Tamil Nadu,Japan,Scooter,Yes
Yamaha,Yamaha FZ16,2016,25000,Kachchh, Gujarat,Japan,Commuter,Yes
TVS,TVS Raider Split Seat,2025,95000,Shimoga, Karnataka,India,Commuter,Yes
Yamaha,Yamaha YZF R15 V3 BS6,2021,110000,South Delhi, Delhi,Japan,Sports,Yes
Fidato Evtech,Fidato Future 2020,2025,45000,North 24 Parganas, West Bengal,India,Commuter,Yes
Jawa,Jawa 42 Dual Channel ABS AllStar Black,2022,175000,Bangalore, Karnataka,Czech Republic,Commuter,Yes
TVS,TVS NTORQ 125,2020,67500,Mumbai, Maharashtra,India,Scooter,Yes
Yamaha,Yamaha FZ,2017,54000,Kottayam, Kerala,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar 220F BS6,2020,100000,Dehradun, Utarakhand,India,Commuter,Yes
Royal Enfield,Royal Enfield Scram 411,2023,225000,Bangalore, Karnataka,India,Adventure,Yes
Bajaj,Bajaj Avenger Street 160,2022,85000,Mumbai, Maharashtra,India,Cruiser,Yes
Evtric Motors,Evtric Ride,2023,35000,Mumbai, Maharashtra,India,Electric,Yes
Honda,Honda CB Twister,2014,18000,Faridabad, Haryana,Japan,Commuter,Yes
Honda,Honda Activa 125,2016,29000,East Delhi, Delhi,Japan,Scooter,Yes
Honda,Honda Activa 6G,2024,80000,Thane, Maharashtra,Japan,Scooter,Yes
BMW,BMW G 310 R,2022,240000,Kanchipuram, Tamil Nadu,Germany,Commuter,Yes
Bajaj,Bajaj Pulsar NS 200 BS6,2022,140000,Nellore, Andhra Pradesh,India,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2013,100000,Gurdaspur, Punjab,India,Cruiser,Yes
Jawa,Jawa 42 Dual Channel ABS Cosmic Carbon,2021,175000,Muzaffarpur, Bihar,Czech Republic,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird X 500,2019,200000,Hyderabad, Telangana,India,Commuter,Yes
Royal Enfield,Royal Enfield Meteor 350 Stellar,2020,175000,West Delhi, Delhi,India,Cruiser,Yes
Royal Enfield,Royal Enfield Interceptor 650 Twin,2020,250000,Mumbai, Maharashtra,India,Sports,Yes
TVS,TVS Apache RR 310,2022,160000,Chennai, Tamil Nadu,India,Sports,Yes
Yamaha,Yamaha FZ25,2018,90000,Mumbai, Maharashtra,Japan,Commuter,Yes
Bajaj,Bajaj Discover 125M,2014,27000,Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS Apache RTR 160,2019,65000,Patna, Bihar,India,Commuter,Yes
Hero,Hero Xtreme 160R 2024 Edition,2024,145000,Hyderabad, Telangana,India,Commuter,Yes
Joy e-Bike,Joy e-bike  Wolf,2024,52000,Pune, Maharashtra,India,Commuter,Yes
Jawa,Jawa 42 Dual Channel ABS Cosmic Carbon,2019,95000,Mumbai, Maharashtra,Czech Republic,Commuter,Yes
Honda,Honda Activa 5G,2019,45000,Maharajganj, Uttar Pradesh,Japan,Scooter,Yes
Honda,Honda Activa,2014,28000,Bhopal, Madhya Pradesh,Japan,Scooter,Yes
TVS,TVS Apache RTR 200 4V,2016,45000,Bangalore, Karnataka,India,Commuter,Yes
Hero,Hero XPulse 200T,2021,90000,Belgaum, Karnataka,India,Adventure,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2024,210000,Ghaziabad, Uttar Pradesh,India,Cruiser,Yes
Ather Energy,Ather 450 Plus,2021,80000,Chennai, Tamil Nadu,India,Commuter,Yes
Suzuki,Suzuki Access 125,2019,35000,Ahmedabad, Gujarat,Japan,Commuter,Yes
Hero,Hero CBZ Xtreme,2012,25000,Chandauli, Uttar Pradesh,India,Commuter,Yes
Hero,Hero Maestro Edge,2016,35000,Vizianagaram, Andhra Pradesh,India,Scooter,Yes
Bajaj,Bajaj Pulsar 150,2011,28000,Navi Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS Sport,2019,40000,Central Delhi, Delhi,India,Commuter,Yes
TVS,TVS Apache RTR 180,2018,55000,Katihar, Bihar,India,Commuter,Yes
Royal Enfield,Royal Enfield Interceptor,2022,350000,Mumbai, Maharashtra,India,Sports,Yes
Ola Electric,Ola S1 Pro,2022,80000,Ranchi, Jharkhand,India,Electric,Yes
Royal Enfield,Royal Enfield Meteor 350,2023,190000,Fatehgarh Sahib, Punjab,India,Cruiser,Yes
Vida (by Hero),Vida V1 Pro,2023,70000,Bangalore, Karnataka,India,Commuter,Yes
Triumph,Triumph Scrambler 400 X,2023,340000,Bangalore, Karnataka,UK,Adventure,Yes
Bajaj,Bajaj Discover 100T,2013,35000,Pimpri-Chinchwad, Maharashtra,India,Commuter,Yes
Hero,Hero Glamour Xtec,2023,80000,Ernakulam, Kerala,India,Commuter,Yes
Yamaha,Yamaha FZ FI V2,2017,40000,South East Delhi, Delhi,Japan,Commuter,Yes
Honda,Honda Activa 4G,2018,50000,Pimpri-Chinchwad, Maharashtra,Japan,Scooter,Yes
Ola Electric,Ola S1 Pro,2022,90000,Bangalore, Karnataka,India,Electric,Yes
TVS,TVS NTORQ 125,2018,25000,Ambala, Haryana,India,Scooter,Yes
Ola Electric,Ola S1 Pro,2022,70000,Bangalore, Karnataka,India,Electric,Yes
Bajaj,Bajaj Pulsar NS 160,2018,49999,Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS NTORQ 125 Race Edition,2020,70000,Paschim Medinipur, West Bengal,India,Sports,Yes
BSA,BSA Gold Star 650,2025,400000,Kolkata, West Bengal,UK,Commuter,Yes
TVS,TVS Apache RTR 200 4V ABS,2021,90000,Indore, Madhya Pradesh,India,Commuter,Yes
Aprilia,Aprilia RS 457,2025,475000,New Delhi, Delhi,Italy,Sports,Yes
Honda,Honda CB350RS,2022,165000,Thane, Maharashtra,Japan,Sports,Yes
TVS,TVS NTORQ 125 Race Edition BS6,2020,80000,Coimbatore, Tamil Nadu,India,Sports,Yes
Bajaj,Bajaj Discover 100T,2013,17000,Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS Apache RTR 200 4V,2017,62000,Thane, Maharashtra,India,Commuter,Yes
TVS,TVS Jupiter,2018,50000,Pune, Maharashtra,India,Scooter,Yes
Honda,Honda CB Unicorn,2024,135000,Bagalkot, Karnataka,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic Gunmetal Grey,2017,125000,Pune, Maharashtra,India,Cruiser,Yes
Bajaj,Bajaj Pulsar 180,2013,32000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Hunter 350 2025,2025,165000,Kolar, Karnataka,India,Commuter,Yes
Hero,Hero Electric Optima ER,2022,55000,Pune, Maharashtra,India,Electric,Yes
TVS,TVS Phoenix,2013,25000,Bangalore, Karnataka,India,Commuter,Yes
Ola Electric,Ola S1 Pro,2025,120000,Pune, Maharashtra,India,Electric,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2013,32000,Bangalore, Karnataka,India,Commuter,Yes
Bajaj,Bajaj V15,2016,35000,Jaipur, Rajasthan,India,Commuter,Yes
TVS,TVS Jupiter BS6,2024,70000,Ghaziabad, Uttar Pradesh,India,Scooter,Yes
Bajaj,Bajaj CT110X,2023,53000,Salem, Tamil Nadu,India,Commuter,Yes
Bajaj,Bajaj Avenger Street 160,2019,70000,Hyderabad, Telangana,India,Cruiser,Yes
Yamaha,Yamaha FZ-S FI V2,2018,55000,Bangalore, Karnataka,Japan,Commuter,Yes
Yamaha,Yamaha R15M,2022,149000,Chennai, Tamil Nadu,Japan,Sports,Yes
Hero,Hero Splendor Plus,2006,20000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan 450,2017,100000,Gorakhpur, Uttar Pradesh,India,Adventure,Yes
Hero,Hero Splendor Plus,2024,69000,Jaipur, Rajasthan,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 500,2016,110000,Bangalore, Karnataka,India,Commuter,Yes
Harley,Harley Davidson Street 750,2015,255000,Pune, Maharashtra,USA,Commuter,Yes
Bajaj,Bajaj Avenger Street 220,2016,38000,Ernakulam, Kerala,India,Cruiser,Yes
Triumph,Triumph Speed T4,2025,245000,Hyderabad, Telangana,UK,Sports,Yes
Ather Energy,Ather 450X,2022,80000,Ujjain, Madhya Pradesh,India,Commuter,Yes
Hero,Hero Karizma XMR,2024,130000,Saharanpur, Uttar Pradesh,India,Commuter,Yes
Honda,Honda CB Unicorn,2017,50000,Bangalore, Karnataka,Japan,Commuter,Yes
Jawa,Jawa 42 FJ,2024,225000,Pune, Maharashtra,Czech Republic,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2017,100000,Bangalore, Karnataka,India,Commuter,Yes
Harley,Harley Davidson Iron 883,2014,425000,Pune, Maharashtra,USA,Commuter,Yes
Honda,Honda SP125,2022,68000,Jaipur, Rajasthan,Japan,Commuter,Yes
Suzuki,Suzuki Access 125 BS6,2022,68000,Chennai, Tamil Nadu,Japan,Commuter,Yes
BGAUSS,BGauss B8 Lithium Ion,2021,50000,Hyderabad, Telangana,India,Commuter,Yes
Ola Electric,Ola S1,2022,90000,Hyderabad, Telangana,India,Electric,Yes
KTM,KTM RC 390 GP,2023,340000,Ernakulam, Kerala,Austria,Sports,Yes
Royal Enfield,Royal Enfield Classic 500,2016,70000,Gurgaon, Haryana,India,Cruiser,Yes
Hero,Hero Passion Pro,2010,13000,Jaipur, Rajasthan,India,Commuter,Yes
Bajaj,Bajaj Pulsar NS125 2022,2022,75000,Hyderabad, Telangana,India,Electric,Yes
Yamaha,Yamaha FZ-S FI V2,2018,59000,Hyderabad, Telangana,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic Signals Airborne Blue,2019,118000,Kulgam, Jammu Kashmir,India,Cruiser,Yes
Hero,Hero XPulse 200 BS6,2021,85000,Tirunelveli, Tamil Nadu,India,Adventure,Yes
Ola Electric,Ola S1 Pro Gen2,2024,90000,Bangalore, Karnataka,India,Electric,Yes
Ampere Electric,Ampere Magnus Ex,2023,50000,Bangalore, Karnataka,India,Electric,Yes
KTM,KTM RC 125,2021,115000,Gorakhpur, Uttar Pradesh,Austria,Sports,Yes
Yamaha,Yamaha FZS 25,2017,65000,Mumbai, Maharashtra,Japan,Commuter,Yes
Mahindra,Mahindra Gusto,2016,27000,Ghaziabad, Uttar Pradesh,India,Commuter,Yes
Honda,Honda CB Unicorn 160,2015,50000,Pune, Maharashtra,Japan,Commuter,Yes
Jawa,Jawa Jawa BS6,2020,150000,Amritsar, Punjab,Czech Republic,Commuter,Yes
Hero,Hero Maestro Edge 125,2020,45000,Pune, Maharashtra,India,Scooter,Yes
Yamaha,Yamaha FZ-X,2023,100000,Gorakhpur, Uttar Pradesh,Japan,Commuter,Yes
TVS,TVS Apache RTR 160,2022,90000,Bhopal, Madhya Pradesh,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2013,30000,New Delhi, Delhi,India,Commuter,Yes
TVS,TVS Apache RTR 160,2014,70000,Jalna, Maharashtra,India,Commuter,Yes
Bajaj,Bajaj Pulsar NS 160 BS6,2020,100000,Bhopal, Madhya Pradesh,India,Commuter,Yes
Honda,Honda CB Unicorn,2020,65000,Mumbai, Maharashtra,Japan,Commuter,Yes
Ola Electric,Ola S1 Pro Gen2,2024,125000,Hyderabad, Telangana,India,Electric,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2013,70000,Lucknow, Uttar Pradesh,India,Commuter,Yes
Yamaha,Yamaha FZ-X,2021,90000,Bhopal, Madhya Pradesh,Japan,Commuter,Yes
Jawa,Jawa forty two,2021,150000,Allahabad, Uttar Pradesh,Czech Republic,Commuter,Yes
Yamaha,Yamaha Fazer,2013,37000,Ratnagiri, Maharashtra,Japan,Commuter,Yes
TVS,TVS Jupiter,2021,60000,Pune, Maharashtra,India,Scooter,Yes
Oreva Electric,Oreva Alish,2025,40000,Gandhinagar, Gujarat,India,Electric,Yes
Yamaha,Yamaha FZ-S FI V2,2015,38000,Bangalore, Karnataka,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2017,120000,Ghaziabad, Uttar Pradesh,India,Commuter,Yes
Bajaj,Bajaj Avenger Street 160 BS6,2020,70000,Murshidabad, West Bengal,India,Cruiser,Yes
Yamaha,Yamaha R15M,2022,160000,Guntur, Andhra Pradesh,Japan,Sports,Yes
Royal Enfield,Royal Enfield Bullet Electra Twinspark,2017,130000,Mumbai, Maharashtra,India,Cruiser,Yes
Honda,Honda Livo Disc,2020,55000,Bareilly, Uttar Pradesh,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar N160 Dual Channel ABS,2024,120000,Vijayawada, Andhra Pradesh,India,Commuter,Yes
Aprilia,Aprilia Tuono 457,2025,440000,Pondicherry, Pondicherry,Italy,Commuter,Yes
Honda,Honda Activa,2011,20000,Bangalore, Karnataka,Japan,Scooter,Yes
Royal Enfield,Royal Enfield Bullet Standard 350,2021,150000,Kanpur Nagar, Uttar Pradesh,India,Cruiser,Yes
TVS,TVS Sport BS6,2025,65000,South East Delhi, Delhi,India,Commuter,Yes
Benelli,Benelli Imperiale 400 BS6,2021,170000,Palghar, Maharashtra,Italy,Cruiser,Yes
Yamaha,Yamaha YZF R15 V3 BS6,2020,115000,Hyderabad, Telangana,Japan,Sports,Yes
Royal Enfield,Royal Enfield Shotgun 650,2024,370000,Ahmedabad, Gujarat,India,Commuter,Yes
Suzuki,Suzuki V-Strom 250,2023,230000,Gurgaon, Haryana,Japan,Adventure,Yes
Yamaha,Yamaha FZ-S,2011,20000,Mumbai, Maharashtra,Japan,Commuter,Yes
Hero,Hero Glamour Xtec,2023,48000,New Delhi, Delhi,India,Commuter,Yes
Bajaj,Bajaj Discover 100,2011,22000,Indore, Madhya Pradesh,India,Commuter,Yes
Honda,Honda CB Hornet 160R,2017,80000,Kolkata, West Bengal,Japan,Commuter,Yes
Vespa,Vespa VXL 150,2021,80000,Chennai, Tamil Nadu,Italy,Scooter,Yes
Bajaj,Bajaj Pulsar 220F,2014,70000,Bhopal, Madhya Pradesh,India,Commuter,Yes
Honda,Honda CB Unicorn 160,2017,45000,Mumbai, Maharashtra,Japan,Commuter,Yes
Bajaj,Bajaj Avenger Cruise 220 BS6,2018,75000,Pune, Maharashtra,India,Cruiser,Yes
Bajaj,Bajaj Pulsar 220F,2016,40000,Navi Mumbai, Maharashtra,India,Commuter,Yes
Honda,Honda CB350 DLX,2023,210000,Bangalore, Karnataka,Japan,Commuter,Yes
Hero,Hero Glamour 125 Disc,2017,30000,Hyderabad, Telangana,India,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2015,70000,Greater Noida, Uttar Pradesh,India,Cruiser,Yes
Yamaha,Yamaha Fazer,2011,25000,Bangalore, Karnataka,Japan,Commuter,Yes
Ola Electric,Ola S1,2023,65000,Jamshedpur, Jharkhand,India,Electric,Yes
Bajaj,Bajaj Avenger Cruise 220 BS6,2021,110000,North Delhi, Delhi,India,Cruiser,Yes
TVS,TVS Apache RR 310 BTO,2022,225000,Kolhapur, Maharashtra,India,Sports,Yes
Hero,Hero Super Splendor BS6,2020,55000,Thane, Maharashtra,India,Commuter,Yes
Yamaha,Yamaha Fazer FI V2,2015,55000,Chandrapur, Maharashtra,Japan,Commuter,Yes
TVS,TVS Apache RTR 310,2024,335000,Mysore, Karnataka,India,Commuter,Yes
Hero,Hero Electric Optima HX Dual Battery,2021,45000,Patna, Bihar,India,Electric,Yes
TVS,TVS Star City Plus,2021,45000,North West Delhi, Delhi,India,Commuter,Yes
Suzuki,Suzuki Gixxer 150,2020,98000,Mumbai, Maharashtra,Japan,Commuter,Yes
Bajaj,Bajaj Avenger Cruise 220,2010,25000,Pune, Maharashtra,India,Cruiser,Yes
Bajaj,Bajaj Avenger Street 220,2019,73000,Bargarh, Orissa,India,Cruiser,Yes
Royal Enfield,Royal Enfield Super Meteor 650,2024,411000,Aurangabad, Maharashtra,India,Cruiser,Yes
Jawa,Jawa 42 Bobber Black Mirror,2025,240000,Bangalore, Karnataka,Czech Republic,Sports,Yes
TVS,TVS iQube Electric,2023,90000,Rajkot, Gujarat,India,Electric,Yes
Hero,Hero Passion Plus 2023,2024,76000,Jamshedpur, Jharkhand,India,Commuter,Yes
Hero,Hero Splendor,2012,25000,Rewari, Haryana,India,Commuter,Yes
Honda,Honda CBR 250R ABS,2012,64000,Bangalore, Karnataka,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Interceptor 650 Twin,2019,225000,Hyderabad, Telangana,India,Sports,Yes
Suzuki,Suzuki V-Strom SX,2023,210000,Hyderabad, Telangana,Japan,Adventure,Yes
Suzuki,Suzuki Intruder 150,2017,50000,Ahmedabad, Gujarat,Japan,Commuter,Yes
TVS,TVS Apache RTR 160 4V Special Edition,2022,100000,Bangalore, Karnataka,India,Commuter,Yes
Husqvarna,Husqvarna Svartpilen 401 2024,2024,300000,Madurai, Tamil Nadu,Sweden,Commuter,Yes
Honda,Honda Unicorn,2016,30000,Hyderabad, Telangana,Japan,Commuter,Yes
